"title","total_payment"
"TRUMAN CRAZY",121.77
"SLEEPLESS MONSOON",121.8
"WATERFRONT DELIVERANCE",121.83
"TIMBERLAND SKY",123.69
"BUTTERFLY CHOCOLAT",123.7
"MALTESE HOPE",123.78
"DOORS PRESIDENT",123.81
"STRANGERS GRAFFITI",123.83
"FREDDY STORM",126.77
"AGENT TRUMAN",126.79
"SABRINA MIDNIGHT",126.79
"MISSION ZOOLANDER",126.82
"TRAP GUYS",126.84
"FALCON VOLUME",127.77
"SNATCH SLIPPER",127.78
"SOMETHING DUCK",127.81
"TEEN APOLLO",127.83
"FORWARD TEMPLE",128.68
"CANDLES GRAPES",128.77
"CAUSE DATE",128.79
"INTERVIEW LIAISONS",128.8
"DAWN POND",128.82
"HEAVYWEIGHTS BEAST",129.77
"SATISFACTION CONFIDENTIAL",129.83
"RIDGEMONT SUBMARINE",130.68
"MILLION ACE",130.8
"ROAD ROXANNE",130.81
"BINGO TALENTED",131.71
"METROPOLIS COMA",131.74
"SLEEPING SUSPECTS",131.76
"ALADDIN CALENDAR",131.77
"LIAISONS SWEET",131.78
"BEAUTY GREASE",132.78
"KISS GLORY",132.78
"HEARTBREAKERS BRIGHT",132.8
"NETWORK PEAK",133.69
"SUSPECTS QUILLS",133.7
"PINOCCHIO SIMON",133.8
"DETAILS PACKER",133.81
"HUNCHBACK IMPOSSIBLE",134.8
"WHALE BIKINI",134.82
"FLINTSTONES HAPPINESS",134.83
"YENTL IDAHO",135.77
"GLEAMING JAWBREAKER",136.7
"PULP BEVERLY",136.7
"CONEHEADS SMOOCHY",136.75
"NAME DETECTIVE",136.77
"QUEEN LUKE",136.78
"COMA HEAD",137.74
"CENTER DINOSAUR",137.76
"FIDELITY DEVIL",138.79
"FLAMINGOS CONNECTICUT",139.77
"CHANCE RESURRECTION",141.73
"DRIFTER COMMANDMENTS",141.76
"STEEL SANTA",141.77
"TOURIST PELICAN",141.78
"CALENDAR GUNFIGHT",141.79
"MOONSHINE CABIN",141.79
"PRINCESS GIANT",142.74
"DURHAM PANKY",144.74
"GARDEN ISLAND",144.8
"TRIP NEWTON",145.72
"MOVIE SHAKESPEARE",145.74
"FORRESTER COMANCHEROS",146.73
"ATTRACTION NEWTON",146.76
"LIES TREATMENT",147.73
"TRADING PINOCCHIO",147.75
"SUIT WALLS",147.79
"KISSING DOLLS",147.8
"STREETCAR INTENTIONS",148.75
"WONDERLAND CHRISTMAS",148.78
"FELLOWSHIP AUTUMN",149.74
"MINDS TRUMAN",149.8
"EASY GLADIATOR",150.77
"WHISPERER GIANT",151.78
"EAGLES PANKY",152.78
"HEAD STRANGER",152.78
"SECRETS PARADISE",152.8
"PITY BOUND",153.74
"MINE TITANS",153.81
"STAGECOACH ARMAGEDDON",154.74
"TITANIC BOONDOCK",154.77
"MIDSUMMER GROUNDHOG",156.78
"BACKLASH UNDEFEATED",158.81
"LOLA AGENT",159.76
"STING PERSONAL",159.79
"BOOGIE AMELIE",163.7
"SEATTLE EXPECATIONS",163.75
"WORKING MICROCOSMOS",163.75
"MAIDEN HOME",163.76
"CONFIDENTIAL INTERVIEW",164.71
"AMERICAN CIRCUS",167.78
"SCORPION APOLLO",168.77
"NIGHTMARE CHILL",169.75
"SHOW LORD",170.75
"SUNRISE LEAGUE",170.76
"ROSES TREASURE",171.72
"SCALAWAG DUCK",172.68
"CLOSER BANG",172.72
"WITCHES PANIC",173.7
"FOOL MOCKINGBIRD",175.77
"DORADO NOTTING",176.73
"VELVET TERMINATOR",177.74
"APACHE DIVINE",178.69
"DOGMA FAMILY",178.7
"VIDEOTAPE ARSENIC",178.71
"MASSACRE USUAL",179.7
"RANGE MOONWALKER",179.73
"BUCKET BROTHERHOOD",180.66
"ENEMY ODDS",180.71
"CAT CONEHEADS",181.7
"PELICAN COMFORTS",188.74
"HUSTLER PARTY",190.78
"INNOCENT USUAL",191.74
"HARRY IDAHO",195.7
"TORQUE BOUND",198.72
"TITANS JERK",201.71
"SATURDAY LAMBS",204.72
"GOODFELLAS SALUTE",209.69
"ZORRO ARK",214.69
"WIFE TURN",223.69
"TELEGRAPH VOYAGE",231.73
"ALICE FANTASIA",NULL
"APOLLO TEEN",NULL
"ARGONAUTS TOWN",NULL
"ARK RIDGEMONT",NULL
"ARSENIC INDEPENDENCE",NULL
"BOONDOCK BALLROOM",NULL
"BUTCH PANTHER",NULL
"CATCH AMISTAD",NULL
"CHINATOWN GLADIATOR",NULL
"CHOCOLATE DUCK",NULL
"COMMANDMENTS EXPRESS",NULL
"CROSSING DIVORCE",NULL
"CROWDS TELEMARK",NULL
"CRYSTAL BREAKING",NULL
"DAZED PUNK",NULL
"DELIVERANCE MULHOLLAND",NULL
"FIREHOUSE VIETNAM",NULL
"FLOATS GARDEN",NULL
"FRANKENSTEIN STRANGER",NULL
"GLADIATOR WESTWARD",NULL
"GUMP DATE",NULL
"HATE HANDICAP",NULL
"HOCUS FRIDA",NULL
"KENTUCKIAN GIANT",NULL
"KILL BROTHERHOOD",NULL
"MUPPET MILE",NULL
"ORDER BETRAYED",NULL
"PEARL DESTINY",NULL
"PERDITION FARGO",NULL
"PSYCHO SHRUNK",NULL
"RAIDERS ANTITRUST",NULL
"RAINBOW SHOCK",NULL
"ROOF CHAMPION",NULL
"SISTER FREDDY",NULL
"SKY MIRACLE",NULL
"SUICIDES SILENCE",NULL
"TADPOLE PARK",NULL
"TREASURE COMMAND",NULL
"VILLAIN DESPERATE",NULL
"VOLUME HOUSE",NULL
"WAKE JAWS",NULL
"WALLS ARTIST",NULL
